1,SAN JUAN: from tourists,462, Things could have been worse. Georges flirted with catastrophic 150 mph (240 kph) winds over the Atlantic but entered the Caribbean near Guadeloupe in a somewhat diminished state. Still by the time Georges left Cuba four days and 1200 miles,/home/ritesh/IdeaProjects/DictionaryGenerator/docs/d31028t/APW19981003.0142
2,Haiti doesn't have money to rebuild after Hurricane Georges,371, PORT-AU-PRINCE Haiti (AP) _ Haiti has only dlrs 23 million to rebuild roads bridges and irrigation canals destroyed by Hurricane Georges less than half of what is needed for just the hardest-hit areas the government says. Even before the storm,/home/ritesh/IdeaProjects/DictionaryGenerator/docs/d31028t/APW19981031.0317
3,Georges goes down in history as `the hurricane that wouldn't die',562, SAN JUAN Puerto Rico (AP) _ It plowed over and past 17 Caribbean islands crashing into the lives of more than 30 million people. As each island fell prey to Hurricane Georges' battering winds the casualties mounted. They are mounting,/home/ritesh/IdeaProjects/DictionaryGenerator/docs/d31028t/APW19981003.0141
4,WWUS IN KEY WEST IS A VOICE IN THE STORM,295, <P> The voice that haunts Bill Becker is a woman's filled with fear who dialed in the dark on Sept. 25 as Hurricane Georges reached its 100 mph peak over the Florida Keys. She was huddled in a closet her,/home/ritesh/IdeaProjects/DictionaryGenerator/docs/d31028t/NYT19981004.0072
5,Death toll rises in Haitian town washed away by Hurricane Georges,253, PORT-AU-PRINCE Haiti (AP) _ Searchers recovered more bodies over the weekend from tons of gravel deposited by storm flooding in a southeastern Haitian town pushing the national death toll from Hurricane Georges past 150 officials said Monday. Seventeen bodies were,/home/ritesh/IdeaProjects/DictionaryGenerator/docs/d31028t/APW19981005.1108
6,WEATHER,332, <P> &QL; </P> <P> NATIONAL FORECAST &QL; </P> <P> Frost will cover patches of the landscape from the western Great Lakes to the northern Ohio Valley on Friday morning. High pressure stretching from Manitoba to West Virginia will promote mainly,/home/ritesh/IdeaProjects/DictionaryGenerator/docs/d31028t/NYT19981001.0271
7,HURRICANES EXPOSE THIN INSURANCE COVERAGE OF PUERTO RICO,1352, <P> SAN JUAN Puerto Rico _ In many ways the capital of Puerto Rico does not look strikingly different from cities in the 50 states like Miami Houston and parts of New York. There are plenty of modern new office,/home/ritesh/IdeaProjects/DictionaryGenerator/docs/d31028t/NYT19981026.0341
8,HOW NATIONS RUN: DISASTERS AS A GUIDE,608, <P> MANAGUA Nicaragua _ A natural disaster as terrible as Hurricane Mitch which killed more than 10000 people in Central America in the past two weeks and left nearly 1 million more homeless teaches a lot about the way a,/home/ritesh/IdeaProjects/DictionaryGenerator/docs/d31028t/NYT19981107.0072
9,U.S. taxpayers will pay huge sums to rebuild Puerto Rican homes,465, SAN JUAN Puerto Rico (AP) _ At a shelter in Puerto Rico last week Hillary Rodham Clinton spoke of a dlrs 39 million dollar U.S. grant to rebuild hurricane-ravaged homes. But two weeks after Hurricane Georges pummeled this U.S. territory,/home/ritesh/IdeaProjects/DictionaryGenerator/docs/d31028t/APW19981004.0574
10,GEORGES WAS AN ISLAND HOPPER,1540, <P> For 11 days last month Hurricane Georges plowed across the Caribbean killing at least 500 people and inflicting property damage estimated at more than $5 billion as it weaved through nearly a dozen countries before expiring as an early,/home/ritesh/IdeaProjects/DictionaryGenerator/docs/d31028t/NYT19981020.0178
11,Cathay Pacific pulls out of talks with Philippine Airlines,542, HONG KONG (AP) _ Cathay Pacific Airways said Wednesday it had pulled out of talks to buy a stake in ailing Philippine Airlines _ making the uncertain future at PAL even cloudier. Philippine President Joseph Estrada said he would try,/home/ritesh/IdeaProjects/DictionaryGenerator/docs/d31041t/APW19981202.0265
12,Philippine Airlines resumes international flights Sunday,332, MANILA Philippines (AP) _ President Joseph Estrada said Saturday the financially troubled Philippine Airlines will resume its international flights on Sunday by flying him to Singapore where he will address the World Economic Forum. Debt-laden PAL reopened Wednesday with domestic,/home/ritesh/IdeaProjects/DictionaryGenerator/docs/d31041t/APW19981010.0163
13,PHILIPPINE AIRLINES MAY NOT SURVIVE WITHOUT BAILOUT,1342, <P> MANILA Philippines _ Christmas is a sacred holiday in the Philippines and nowhere is that more evident than at the headquarters of Philippine Airlines. Religious statues adorn executive offices and signs throughout the building announce a holiday mass in,/home/ritesh/IdeaProjects/DictionaryGenerator/docs/d31041t/NYT19981218.0224
14,Philippine Airlines  Cathay Pacific discuss retrenchment of PAL,294, MANILA Philippines (AP) _ Prospective investor Cathay Pacific Airways wants the number of employees at troubled Philippine Airlines to be slashed from more than 8000 to 5000 but PAL has not yet agreed Finance Secretary Edgardo Espiritu said Monday. PAL,/home/ritesh/IdeaProjects/DictionaryGenerator/docs/d31041t/APW19981123.0257
15,Estrada urges militant unionists to accept PAL referendum,363, MANILA Philippines (AP) _ President Joseph Estrada on Saturday urged militant unionists at Philippine Airlines to accept a vote by workers approving a 10-year no-strike deal to revive the debt-laden airline. On Friday about 61 percent of the members of,/home/ritesh/IdeaProjects/DictionaryGenerator/docs/d31041t/APW19981003.0184
16,Government ready to give up stake in Philippine Airlines,362, MANILA Philippines (AP) _ The Philippine government is ready to give up its stake in ailing Philippine Airlines and will not infuse any additional capital if a new investor possibly Cathay Pacific Airways comes in officials said Tuesday. ``Our objective,/home/ritesh/IdeaProjects/DictionaryGenerator/docs/d31041t/APW19981110.0245
